# wavelength (nm)	 AM1.5G spectrum (W/m2)	 silicon absorption coefficient (/cm)
3.000000000000000000e+02	3.112852999999999801e-02	1.730000000000000000e+06
3.100000000000000000e+02	6.511912500000002213e-01	1.440000000000000000e+06
3.200000000000000000e+02	2.057022500000000420e+00	1.280000000000000000e+06
3.300000000000000000e+02	4.086529999999999774e+00	1.170000000000000000e+06
3.400000000000000000e+02	4.538164999999996674e+00	1.090000000000000000e+06
3.500000000000000000e+02	5.177939999999999543e+00	1.040000000000000000e+06
3.600000000000000000e+02	5.385522500000000434e+00	1.020000000000000000e+06
3.700000000000000000e+02	6.709537499999999710e+00	6.970000000000000000e+05
3.800000000000000000e+02	6.623132499999989875e+00	2.930000000000000000e+05
3.900000000000000000e+02	6.735297500000001492e+00	1.500000000000000000e+05
4.000000000000000000e+02	9.947620000000007678e+00	9.520000000000000000e+04
4.100000000000000000e+02	1.164645000000000152e+01	6.740000000000000000e+04
4.200000000000000000e+02	1.222169999999998424e+01	5.000000000000000000e+04
4.300000000000000000e+02	1.126636000000002014e+01	3.920000000000000000e+04
4.400000000000000000e+02	1.347494999999999266e+01	3.110000000000000000e+04
4.500000000000000000e+02	1.499404999999998722e+01	2.550000000000000000e+04
4.600000000000000000e+02	1.564379999999999882e+01	2.100000000000000000e+04
4.700000000000000000e+02	1.554185000000001082e+01	1.720000000000000000e+04
4.800000000000000000e+02	1.598010000000002151e+01	1.480000000000000000e+04
4.900000000000000000e+02	1.510890000000000555e+01	1.270000000000000000e+04
5.000000000000000000e+02	1.543309999999996762e+01	1.110000000000000000e+04
5.100000000000000000e+02	1.558834999999999127e+01	9.700000000000000000e+03
5.200000000000000000e+02	1.489225000000004684e+01	8.800000000000000000e+03
5.300000000000000000e+02	1.531680000000002906e+01	7.850000000000000000e+03
5.400000000000000000e+02	1.533980000000002519e+01	7.050000000000000000e+03
5.500000000000000000e+02	1.541614999999995916e+01	6.390000000000000000e+03
5.600000000000000000e+02	1.512604999999996380e+01	5.780000000000000000e+03
5.700000000000000000e+02	1.492679999999995744e+01	5.320000000000000000e+03
5.800000000000000000e+02	1.504134999999996580e+01	4.880000000000000000e+03
5.900000000000000000e+02	1.446549999999996317e+01	4.490000000000000000e+03
6.000000000000000000e+02	1.466244999999997844e+01	4.140000000000000000e+03
6.100000000000000000e+02	1.470650000000000546e+01	3.810000000000000000e+03
6.200000000000000000e+02	1.442894999999998618e+01	3.520000000000000000e+03
6.300000000000000000e+02	1.409309999999999263e+01	3.270000000000000000e+03
6.400000000000000000e+02	1.446544999999991887e+01	3.040000000000000000e+03
6.500000000000000000e+02	1.401160000000015771e+01	2.810000000000000000e+03
6.600000000000000000e+02	1.354155000000002929e+01	2.580000000000000000e+03
6.700000000000000000e+02	1.414400000000000546e+01	2.380000000000000000e+03
6.800000000000000000e+02	1.394110000000000582e+01	2.210000000000000000e+03
6.900000000000000000e+02	1.207513999999997623e+01	2.050000000000000000e+03
7.000000000000000000e+02	1.291419999999999391e+01	1.900000000000000000e+03
7.100000000000000000e+02	1.306254999999993061e+01	1.770000000000000000e+03
7.200000000000000000e+02	1.099202999999994290e+01	1.660000000000000000e+03
7.300000000000000000e+02	1.116489999999998872e+01	1.540000000000000000e+03
7.400000000000000000e+02	1.220135000000004766e+01	1.420000000000000000e+03
7.500000000000000000e+02	1.237879999999995562e+01	1.300000000000000000e+03
7.600000000000000000e+02	7.857415000000059990e+00	1.190000000000000000e+03
7.700000000000000000e+02	1.082333500000015647e+01	1.100000000000000000e+03
7.800000000000000000e+02	1.167365000000006603e+01	1.010000000000000000e+03
7.900000000000000000e+02	1.116309999999998581e+01	9.280000000000000000e+02
8.000000000000000000e+02	1.082825000000013915e+01	8.500000000000000000e+02
8.100000000000000000e+02	1.034322499999996126e+01	7.750000000000000000e+02
8.200000000000000000e+02	8.762920000000121945e+00	7.070000000000000000e+02
8.300000000000000000e+02	9.308635000000094806e+00	6.470000000000000000e+02
8.400000000000000000e+02	1.000613999999984571e+01	5.910000000000000000e+02
8.500000000000000000e+02	9.607179999999971187e+00	5.350000000000000000e+02
8.600000000000000000e+02	9.835719999999810170e+00	4.800000000000000000e+02
8.700000000000000000e+02	9.404184999999984029e+00	4.320000000000000000e+02
8.800000000000000000e+02	9.376350000000115870e+00	3.830000000000000000e+02
8.900000000000000000e+02	9.037020000000211439e+00	3.430000000000000000e+02
9.000000000000000000e+02	7.053330000000073596e+00	3.060000000000000000e+02
9.100000000000000000e+02	6.754834999999957290e+00	2.720000000000000000e+02
9.200000000000000000e+02	7.024270000000001346e+00	2.400000000000000000e+02
9.300000000000000000e+02	4.647029999999972461e+00	2.100000000000000000e+02
9.400000000000000000e+02	3.046984999999949650e+00	1.830000000000000000e+02
9.500000000000000000e+02	3.356290000000171858e+00	1.570000000000000000e+02
9.600000000000000000e+02	4.143424999999979264e+00	1.340000000000000000e+02
9.700000000000000000e+02	6.108275000000048749e+00	1.140000000000000000e+02
9.800000000000000000e+02	6.519019999999954962e+00	9.590000000000000568e+01
